node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,is_new_best,prune_reason,timestamp_order
"((0, 0), (1, 0), (2, 0), (3, 0))","((0, 0), (1, 0), (2, 0))",0,0,0,3,,,goal,,True,,0
"((0, 0), (1, 0), (2, 0), (2, 1))","((0, 0), (1, 0), (2, 0))",0,0,0,3,,,pruned,,,bound,1
"((0, 0), (1, 0), (2, 0), (2, -1))","((0, 0), (1, 0), (2, 0))",0,0,0,3,,,pruned,,,bound,2
"((0, 0), (1, 0), (2, 0))","((0, 0), (1, 0))",0,0,0,2,3,2,expanded,False,,,3
"((0, 0), (1, 0), (1, 1))","((0, 0), (1, 0))",0,0,0,2,,,pruned,,,bound,4
"((0, 0), (1, 0))",,0,0,0,1,2,1,expanded,False,,,5
