node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,is_new_best,prune_reason,timestamp_order
"((0, 0), (1, 0), (2, 0))","((0, 0), (1, 0))",0,2,2,2,3,0,expanded,False,,,37
"((0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-1, 0))","((0, 0), (1, 0), (1, 1), (0, 1), (-1, 1))",0,2,2,5,,,goal,,False,,38
"((0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-2, 1))","((0, 0), (1, 0), (1, 1), (0, 1), (-1, 1))",0,2,2,5,,,goal,,False,,39
"((0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-1, 2))","((0, 0), (1, 0), (1, 1), (0, 1), (-1, 1))",0,2,2,5,,,goal,,False,,40
"((0, 0), (1, 0), (1, 1), (0, 1), (-1, 1))","((0, 0), (1, 0), (1, 1), (0, 1))",0,2,2,4,3,0,expanded,False,,,41
"((0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (1, 2))","((0, 0), (1, 0), (1, 1), (0, 1), (0, 2))",0,2,2,5,,,goal,,False,,42
"((0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (-1, 2))","((0, 0), (1, 0), (1, 1), (0, 1), (0, 2))",0,2,2,5,,,goal,,False,,43
"((0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (0, 3))","((0, 0), (1, 0), (1, 1), (0, 1), (0, 2))",0,2,2,5,,,goal,,False,,44
"((0, 0), (1, 0), (1, 1), (0, 1), (0, 2))","((0, 0), (1, 0), (1, 1), (0, 1))",0,2,2,4,3,0,expanded,False,,,45
"((0, 0), (1, 0), (1, 1), (0, 1))","((0, 0), (1, 0), (1, 1))",0,2,2,3,2,0,expanded,False,,,46
"((0, 0), (1, 0), (1, 1), (2, 1), (2, 0), (3, 0))","((0, 0), (1, 0), (1, 1), (2, 1), (2, 0))",1,1,2,5,,,goal,,False,,47
"((0, 0), (1, 0), (1, 1), (2, 1), (2, 0), (2, -1))","((0, 0), (1, 0), (1, 1), (2, 1), (2, 0))",1,1,2,5,,,goal,,False,,48
"((0, 0), (1, 0), (1, 1), (2, 1), (2, 0))","((0, 0), (1, 0), (1, 1), (2, 1))",1,1,2,4,2,0,expanded,False,,,49
"((0, 0), (1, 0), (1, 1), (2, 1), (3, 1), (4, 1))","((0, 0), (1, 0), (1, 1), (2, 1), (3, 1))",0,2,2,5,,,goal,,False,,50
