tau,n_components
8.0,2
8.263157894736842,2
8.526315789473685,2
8.789473684210526,2
9.052631578947368,108
9.31578947368421,108
9.578947368421053,108
9.842105263157894,108
10.105263157894736,1265
10.368421052631579,1265
10.631578947368421,1265
10.894736842105264,1265
11.157894736842106,6934
11.421052631578947,6934
11.68421052631579,6934
11.947368421052632,6934
12.210526315789473,21298
12.473684210526315,21298
12.736842105263158,21298
13.0,14
