node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,is_new_best,timestamp_order
"((0, 0), (1, 0), (2, 0), (3, 0))","((0, 0), (1, 0), (2, 0))",0,3,3,3,,,goal,,True,0
"((0, 0), (1, 0), (2, 0), (2, 1))","((0, 0), (1, 0), (2, 0))",0,3,3,3,,,goal,,False,1
"((0, 0), (1, 0), (2, 0), (2, -1))","((0, 0), (1, 0), (2, 0))",0,3,3,3,,,goal,,False,2
"((0, 0), (1, 0), (2, 0))","((0, 0), (1, 0))",0,3,3,2,3,0,expanded,False,,3
"((0, 0), (1, 0), (1, 1), (0, 1))","((0, 0), (1, 0), (1, 1))",1,2,3,3,,,goal,,True,4
"((0, 0), (1, 0), (1, 1), (2, 1))","((0, 0), (1, 0), (1, 1))",0,3,3,3,,,goal,,False,5
"((0, 0), (1, 0), (1, 1), (1, 2))","((0, 0), (1, 0), (1, 1))",0,3,3,3,,,goal,,False,6
"((0, 0), (1, 0), (1, 1))","((0, 0), (1, 0))",0,3,3,2,3,0,expanded,False,,7
"((0, 0), (1, 0))",,0,3,3,1,2,0,expanded,False,,8
