node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((2, 3), (3, 2), (3, 5), (4, 2), (4, 3)), (1, 3))","(((2, 4), (3, 2), (3, 5), (4, 2), (4, 3)), (1, 3))",2,2.0,4.0,2,8,3,expanded,False,True,31
"(((1, 4), (3, 2), (4, 2), (4, 3), (4, 5)), (1, 3))","(((2, 4), (3, 2), (4, 2), (4, 3), (4, 5)), (1, 3))",3,3,6.0,3,,,pruned,,,32
"(((2, 4), (3, 2), (4, 2), (4, 3), (5, 5)), (1, 3))","(((2, 4), (3, 2), (4, 2), (4, 3), (4, 5)), (1, 3))",3,3,6.0,3,,,pruned,,,33
"(((2, 4), (3, 2), (4, 2), (4, 5), (5, 3)), (1, 3))","(((2, 4), (3, 2), (4, 2), (4, 3), (4, 5)), (1, 3))",3,3,6.0,3,,,pruned,,,34
"(((2, 4), (3, 1), (4, 2), (4, 3), (4, 5)), (1, 3))","(((2, 4), (3, 2), (4, 2), (4, 3), (4, 5)), (1, 3))",3,3,6.0,3,,,pruned,,,35
"(((2, 4), (3, 2), (4, 2), (4, 3), (4, 5)), (1, 3))","(((2, 4), (3, 2), (3, 5), (4, 2), (4, 3)), (1, 3))",2,2.0,4.0,2,8,4,expanded,False,True,36
"(((2, 3), (3, 2), (3, 4), (4, 2), (4, 3)), (1, 3))","(((2, 4), (3, 2), (3, 4), (4, 2), (4, 3)), (1, 3))",3,1.0,4.0,3,4,0,expanded,False,True,37
"(((1, 4), (3, 2), (3, 3), (4, 2), (4, 3)), (1, 3))","(((2, 4), (3, 2), (3, 3), (4, 2), (4, 3)), (1, 3))",4,2,6.0,4,,,pruned,,,38
"(((2, 4), (3, 2), (3, 3), (4, 2), (4, 3)), (1, 3))","(((2, 4), (3, 2), (3, 4), (4, 2), (4, 3)), (1, 3))",3,1.0,4.0,3,4,1,expanded,False,True,39
"(((2, 5), (3, 2), (3, 5), (4, 2), (5, 3)), (1, 3))","(((2, 5), (3, 2), (3, 5), (4, 2), (4, 3)), (1, 3))",3,4,7.0,3,,,pruned,,,40
"(((2, 5), (3, 1), (3, 5), (4, 2), (4, 3)), (1, 3))","(((2, 5), (3, 2), (3, 5), (4, 2), (4, 3)), (1, 3))",3,4,7.0,3,,,pruned,,,41
"(((2, 5), (3, 2), (3, 5), (4, 2), (4, 3)), (1, 3))","(((2, 5), (3, 2), (3, 4), (4, 2), (4, 3)), (1, 3))",2,3.0,5.0,2,5,2,expanded,False,True,42
"(((2, 5), (3, 3), (3, 4), (4, 2), (4, 3)), (1, 3))","(((2, 5), (3, 2), (3, 4), (4, 2), (4, 3)), (1, 3))",2,3.0,5.0,2,2,0,expanded,False,True,43
"(((3, 2), (3, 4), (3, 5), (4, 2), (5, 3)), (1, 3))","(((3, 2), (3, 4), (3, 5), (4, 2), (4, 3)), (1, 3))",3,4,7.0,3,,,pruned,,,44
"(((3, 1), (3, 4), (3, 5), (4, 2), (4, 3)), (1, 3))","(((3, 2), (3, 4), (3, 5), (4, 2), (4, 3)), (1, 3))",3,4,7.0,3,,,pruned,,,45
"(((3, 2), (3, 4), (3, 5), (4, 2), (4, 3)), (1, 3))","(((2, 5), (3, 2), (3, 4), (4, 2), (4, 3)), (1, 3))",2,3.0,5.0,2,4,2,expanded,False,True,46
"(((2, 7), (3, 2), (3, 4), (4, 2), (4, 3)), (1, 3))","(((2, 6), (3, 2), (3, 4), (4, 2), (4, 3)), (1, 3))",3,4,7.0,3,,,pruned,,,47
"(((2, 6), (3, 2), (3, 4), (4, 2), (5, 3)), (1, 3))","(((2, 6), (3, 2), (3, 4), (4, 2), (4, 3)), (1, 3))",3,4,7.0,3,,,pruned,,,48
"(((2, 6), (3, 1), (3, 4), (4, 2), (4, 3)), (1, 3))","(((2, 6), (3, 2), (3, 4), (4, 2), (4, 3)), (1, 3))",3,4,7.0,3,,,pruned,,,49
"(((2, 6), (3, 2), (3, 4), (4, 2), (4, 3)), (1, 3))","(((2, 5), (3, 2), (3, 4), (4, 2), (4, 3)), (1, 3))",2,3.0,5.0,2,8,3,expanded,False,True,50
"(((2, 4), (3, 3), (3, 5), (4, 2), (4, 3)), (1, 3))","(((2, 4), (2, 5), (3, 3), (4, 2), (4, 3)), (1, 3))",2,3.0,5.0,2,6,0,expanded,False,True,51
