node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,is_new_best,timestamp_order
"((0, 0), (1, 0), (2, 0), (3, 0), (4, 0))","((0, 0), (1, 0), (2, 0), (3, 0))",0,4,4,4,,,goal,,True,0
"((0, 0), (1, 0), (2, 0), (3, 0), (3, 1))","((0, 0), (1, 0), (2, 0), (3, 0))",0,4,4,4,,,goal,,False,1
"((0, 0), (1, 0), (2, 0), (3, 0), (3, -1))","((0, 0), (1, 0), (2, 0), (3, 0))",0,4,4,4,,,goal,,False,2
"((0, 0), (1, 0), (2, 0), (3, 0))","((0, 0), (1, 0), (2, 0))",0,5,5,3,3,0,expanded,False,,3
"((0, 0), (1, 0), (2, 0), (2, 1), (1, 1))","((0, 0), (1, 0), (2, 0), (2, 1))",1,3,4,4,,,goal,,True,4
"((0, 0), (1, 0), (2, 0), (2, 1), (3, 1))","((0, 0), (1, 0), (2, 0), (2, 1))",0,4,4,4,,,goal,,False,5
"((0, 0), (1, 0), (2, 0), (2, 1), (2, 2))","((0, 0), (1, 0), (2, 0), (2, 1))",0,4,4,4,,,goal,,False,6
"((0, 0), (1, 0), (2, 0), (2, 1))","((0, 0), (1, 0), (2, 0))",0,5,5,3,3,0,expanded,False,,7
"((0, 0), (1, 0), (2, 0), (2, -1), (1, -1))","((0, 0), (1, 0), (2, 0), (2, -1))",1,3,4,4,,,goal,,False,8
"((0, 0), (1, 0), (2, 0), (2, -1), (3, -1))","((0, 0), (1, 0), (2, 0), (2, -1))",0,4,4,4,,,goal,,False,9
"((0, 0), (1, 0), (2, 0), (2, -1), (2, -2))","((0, 0), (1, 0), (2, 0), (2, -1))",0,4,4,4,,,goal,,False,10
"((0, 0), (1, 0), (2, 0), (2, -1))","((0, 0), (1, 0), (2, 0))",0,5,5,3,3,0,expanded,False,,11
"((0, 0), (1, 0), (2, 0))","((0, 0), (1, 0))",0,4,4,2,3,0,expanded,False,,12
"((0, 0), (1, 0), (1, 1), (2, 1), (2, 0))","((0, 0), (1, 0), (1, 1), (2, 1))",1,3,4,4,,,goal,,False,13
"((0, 0), (1, 0), (1, 1), (2, 1), (3, 1))","((0, 0), (1, 0), (1, 1), (2, 1))",0,4,4,4,,,goal,,False,14
"((0, 0), (1, 0), (1, 1), (2, 1), (2, 2))","((0, 0), (1, 0), (1, 1), (2, 1))",0,4,4,4,,,goal,,False,15
"((0, 0), (1, 0), (1, 1), (2, 1))","((0, 0), (1, 0), (1, 1))",0,5,5,3,3,0,expanded,False,,16
"((0, 0), (1, 0), (1, 1), (0, 1), (-1, 1))","((0, 0), (1, 0), (1, 1), (0, 1))",0,3,3,4,,,goal,,False,17
"((0, 0), (1, 0), (1, 1), (0, 1), (0, 2))","((0, 0), (1, 0), (1, 1), (0, 1))",0,3,3,4,,,goal,,False,18
"((0, 0), (1, 0), (1, 1), (0, 1))","((0, 0), (1, 0), (1, 1))",0,4,4,3,2,0,expanded,False,,19
"((0, 0), (1, 0), (1, 1), (1, 2), (2, 2))","((0, 0), (1, 0), (1, 1), (1, 2))",0,4,4,4,,,goal,,False,20
"((0, 0), (1, 0), (1, 1), (1, 2), (0, 2))","((0, 0), (1, 0), (1, 1), (1, 2))",0,4,4,4,,,goal,,False,21
"((0, 0), (1, 0), (1, 1), (1, 2), (1, 3))","((0, 0), (1, 0), (1, 1), (1, 2))",0,4,4,4,,,goal,,False,22
"((0, 0), (1, 0), (1, 1), (1, 2))","((0, 0), (1, 0), (1, 1))",0,5,5,3,3,0,expanded,False,,23
"((0, 0), (1, 0), (1, 1))","((0, 0), (1, 0))",0,4,4,2,3,0,expanded,False,,24
"((0, 0), (1, 0))",,0,5,5,1,2,0,expanded,False,,25
