node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((1, 4), (2, 5), (3, 3), (4, 4)), (3, 2))","(((1, 4), (2, 5), (3, 3), (4, 3)), (3, 2))",6,6,12.0,6,,,pruned,,,35
"(((1, 4), (2, 5), (3, 3), (4, 3)), (3, 2))","(((1, 4), (2, 5), (3, 3), (4, 2)), (2, 3))",5,5.0,10.0,5,2,1,expanded,False,True,36
"(((1, 5), (2, 4), (3, 3), (4, 4)), (3, 2))","(((1, 5), (2, 4), (3, 3), (4, 3)), (3, 2))",6,6,12.0,6,,,pruned,,,37
"(((1, 5), (2, 4), (3, 3), (4, 3)), (3, 2))","(((1, 5), (2, 4), (3, 3), (4, 2)), (1, 6))",5,5.0,10.0,5,2,1,expanded,False,True,38
"(((1, 4), (2, 3), (3, 3), (4, 2)), (1, 5))","(((1, 4), (2, 4), (3, 3), (4, 2)), (1, 5))",6,6,12.0,6,,,pruned,,,39
"(((1, 4), (2, 3), (2, 4), (4, 2)), (1, 5))","(((1, 4), (2, 4), (3, 3), (4, 2)), (1, 5))",6,5,11.0,6,,,pruned,,,40
"(((1, 4), (2, 4), (3, 2), (4, 2)), (1, 5))","(((1, 4), (2, 4), (3, 3), (4, 2)), (1, 5))",6,6,12.0,6,,,pruned,,,41
"(((1, 4), (2, 4), (3, 2), (3, 3)), (1, 5))","(((1, 4), (2, 4), (3, 3), (4, 2)), (1, 5))",6,6,12.0,6,,,pruned,,,42
"(((1, 4), (2, 4), (3, 3), (4, 1)), (1, 5))","(((1, 4), (2, 4), (3, 3), (4, 2)), (1, 5))",6,4,10.0,6,,,pruned,,,43
"(((1, 4), (2, 4), (3, 3), (4, 2)), (1, 5))","(((1, 5), (2, 4), (3, 3), (4, 2)), (1, 6))",5,5.0,10.0,5,6,5,expanded,False,True,44
"(((1, 4), (2, 6), (4, 3), (5, 2)), (1, 5))","(((1, 4), (2, 5), (4, 3), (5, 2)), (2, 3))",7,4,11.0,7,,,pruned,,,45
"(((1, 4), (2, 5), (4, 4), (5, 2)), (2, 3))","(((1, 4), (2, 5), (4, 3), (5, 2)), (2, 3))",7,5,12.0,7,,,pruned,,,46
"(((1, 4), (2, 5), (4, 3), (5, 2)), (2, 3))","(((1, 4), (2, 5), (4, 2), (4, 3)), (2, 3))",6,4.0,10.0,6,7,2,expanded,False,True,47
"(((1, 4), (1, 5), (4, 2), (4, 3)), (1, 6))","(((1, 4), (2, 5), (4, 2), (4, 3)), (2, 3))",6,4.0,10.0,6,2,0,expanded,False,True,48
"(((1, 4), (2, 6), (4, 2), (5, 3)), (1, 5))","(((1, 4), (2, 5), (4, 2), (5, 3)), (2, 3))",7,4,11.0,7,,,pruned,,,49
"(((1, 4), (2, 5), (4, 1), (5, 3)), (2, 3))","(((1, 4), (2, 5), (4, 2), (5, 3)), (2, 3))",7,3,10.0,7,,,pruned,,,50
"(((1, 4), (2, 5), (4, 2), (5, 3)), (2, 3))","(((1, 4), (2, 5), (4, 2), (4, 3)), (2, 3))",6,4.0,10.0,6,4,2,expanded,False,True,51
"(((1, 4), (1, 5), (3, 3), (4, 4)), (3, 2))","(((1, 4), (1, 5), (3, 3), (4, 3)), (3, 2))",7,5,12.0,7,,,pruned,,,52
"(((1, 4), (1, 5), (3, 3), (4, 3)), (3, 2))","(((1, 4), (1, 5), (3, 3), (4, 2)), (1, 6))",6,4.0,10.0,6,2,1,expanded,False,True,53
"(((1, 4), (2, 4), (3, 3), (4, 4)), (3, 2))","(((1, 4), (2, 4), (3, 3), (4, 3)), (3, 2))",7,5,12.0,7,,,pruned,,,54
"(((1, 4), (2, 4), (3, 3), (4, 3)), (3, 2))","(((1, 4), (2, 4), (3, 3), (4, 2)), (1, 5))",6,4.0,10.0,6,2,1,expanded,False,True,55
"(((1, 4), (2, 6), (4, 3), (5, 3)), (1, 5))","(((1, 4), (2, 5), (4, 3), (5, 3)), (2, 3))",8,3,11.0,8,,,pruned,,,56
"(((1, 4), (2, 5), (4, 4), (5, 3)), (2, 3))","(((1, 4), (2, 5), (4, 3), (5, 3)), (2, 3))",8,4,12.0,8,,,pruned,,,57
"(((1, 4), (2, 5), (4, 3), (5, 3)), (2, 3))","(((1, 4), (2, 5), (4, 3), (5, 2)), (2, 3))",7,3.0,10.0,7,4,2,expanded,False,True,58
"(((1, 4), (1, 5), (4, 4), (5, 2)), (1, 6))","(((1, 4), (1, 5), (4, 3), (5, 2)), (1, 6))",8,4,12.0,8,,,pruned,,,59
"(((1, 4), (1, 5), (4, 3), (5, 2)), (1, 6))","(((1, 4), (2, 5), (4, 3), (5, 2)), (2, 3))",7,3.0,10.0,7,5,1,expanded,False,True,60
"(((1, 4), (2, 6), (5, 2), (5, 3)), (1, 5))","(((1, 4), (2, 5), (5, 2), (5, 3)), (2, 3))",8,3,11.0,8,,,pruned,,,61
"(((1, 4), (2, 5), (5, 2), (5, 3)), (2, 3))","(((1, 4), (2, 5), (4, 3), (5, 2)), (2, 3))",7,3.0,10.0,7,3,1,expanded,False,True,62
