node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((4, 3), (4, 8), (5, 2), (5, 4), (7, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 4), (6, 3)), (5, 3))",1,9.0,10.0,1,12,3,expanded,False,True,31
"(((4, 3), (4, 9), (5, 2), (5, 6), (6, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 6), (6, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,32
"(((4, 3), (4, 8), (5, 1), (5, 6), (6, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 6), (6, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,33
"(((4, 3), (4, 8), (5, 2), (5, 6), (6, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 5), (6, 3)), (1, 1))",2,8.0,10.0,2,12,2,expanded,False,True,34
"(((4, 3), (4, 9), (5, 2), (5, 4), (6, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 4), (6, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,35
"(((4, 3), (4, 8), (5, 2), (5, 4), (6, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 5), (6, 3)), (1, 1))",2,8.0,10.0,2,8,1,expanded,False,True,36
"(((4, 9), (5, 2), (5, 3), (5, 5), (6, 3)), (1, 1))","(((4, 8), (5, 2), (5, 3), (5, 5), (6, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,37
"(((4, 8), (5, 2), (5, 3), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 5), (6, 3)), (1, 1))",2,8.0,10.0,2,4,1,expanded,False,True,38
"(((3, 3), (4, 9), (5, 2), (5, 5), (6, 3)), (1, 1))","(((3, 3), (4, 8), (5, 2), (5, 5), (6, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,39
"(((3, 3), (4, 8), (5, 1), (5, 5), (6, 3)), (1, 1))","(((3, 3), (4, 8), (5, 2), (5, 5), (6, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,40
"(((3, 3), (4, 8), (5, 2), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 5), (6, 3)), (1, 1))",2,8.0,10.0,2,10,2,expanded,False,True,41
"(((4, 3), (4, 9), (5, 2), (5, 5), (7, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 5), (7, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,42
"(((4, 3), (4, 8), (5, 2), (5, 5), (8, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 5), (7, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,43
"(((4, 3), (4, 8), (5, 1), (5, 5), (7, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 5), (7, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,44
"(((4, 3), (4, 8), (5, 2), (5, 5), (7, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 5), (6, 3)), (1, 1))",2,8.0,10.0,2,10,3,expanded,False,True,45
"(((4, 3), (4, 9), (5, 2), (5, 3), (5, 5)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 3), (5, 5)), (1, 1))",3,9,12.0,3,,,pruned,,,46
"(((4, 3), (4, 8), (5, 2), (5, 3), (5, 5)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 5), (6, 3)), (1, 1))",2,8.0,10.0,2,4,1,expanded,False,True,47
"(((3, 3), (4, 7), (5, 1), (5, 4), (6, 3)), (1, 1))","(((3, 3), (4, 7), (5, 2), (5, 4), (6, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,48
"(((3, 3), (4, 7), (5, 2), (5, 4), (6, 3)), (1, 1))","(((3, 3), (4, 8), (5, 2), (5, 4), (6, 3)), (1, 1))",2,8.0,10.0,2,14,1,expanded,False,True,49
"(((3, 3), (4, 9), (5, 2), (6, 3), (6, 4)), (1, 1))","(((3, 3), (4, 8), (5, 2), (6, 3), (6, 4)), (1, 1))",3,9,12.0,3,,,pruned,,,50
"(((3, 3), (4, 8), (5, 1), (6, 3), (6, 4)), (1, 1))","(((3, 3), (4, 8), (5, 2), (6, 3), (6, 4)), (1, 1))",3,9,12.0,3,,,pruned,,,51
"(((3, 3), (4, 8), (5, 2), (6, 3), (6, 4)), (1, 1))","(((3, 3), (4, 8), (5, 2), (5, 4), (6, 3)), (1, 1))",2,8.0,10.0,2,10,2,expanded,False,True,52
"(((3, 3), (4, 4), (4, 9), (5, 2), (6, 3)), (1, 1))","(((3, 3), (4, 4), (4, 8), (5, 2), (6, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,53
"(((3, 3), (4, 4), (4, 8), (5, 1), (6, 3)), (1, 1))","(((3, 3), (4, 4), (4, 8), (5, 2), (6, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,54
"(((3, 3), (4, 4), (4, 8), (5, 2), (6, 3)), (1, 1))","(((3, 3), (4, 8), (5, 2), (5, 4), (6, 3)), (1, 1))",2,8.0,10.0,2,10,2,expanded,False,True,55
"(((3, 3), (4, 9), (5, 3), (5, 4), (6, 3)), (1, 1))","(((3, 3), (4, 8), (5, 3), (5, 4), (6, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,56
"(((3, 3), (4, 8), (5, 3), (5, 4), (6, 3)), (1, 1))","(((3, 3), (4, 8), (5, 2), (5, 4), (6, 3)), (1, 1))",2,8.0,10.0,2,6,1,expanded,False,True,57
"(((4, 3), (4, 7), (5, 2), (5, 4), (8, 3)), (1, 1))","(((4, 3), (4, 7), (5, 2), (5, 4), (7, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,58
"(((4, 3), (4, 7), (5, 1), (5, 4), (7, 3)), (1, 1))","(((4, 3), (4, 7), (5, 2), (5, 4), (7, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,59
"(((4, 3), (4, 7), (5, 2), (5, 4), (7, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 4), (7, 3)), (1, 1))",2,8.0,10.0,2,14,2,expanded,False,True,60
"(((4, 3), (4, 9), (5, 2), (6, 4), (7, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (6, 4), (7, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,61
"(((4, 3), (4, 8), (5, 2), (6, 4), (8, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (6, 4), (7, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,62
"(((4, 3), (4, 8), (5, 1), (6, 4), (7, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (6, 4), (7, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,63
"(((4, 3), (4, 8), (5, 2), (6, 4), (7, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 4), (7, 3)), (1, 1))",2,8.0,10.0,2,10,3,expanded,False,True,64
"(((4, 3), (4, 4), (4, 9), (5, 2), (7, 3)), (1, 1))","(((4, 3), (4, 4), (4, 8), (5, 2), (7, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,65
"(((4, 3), (4, 4), (4, 8), (5, 2), (8, 3)), (1, 1))","(((4, 3), (4, 4), (4, 8), (5, 2), (7, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,66
"(((4, 3), (4, 4), (4, 8), (5, 1), (7, 3)), (1, 1))","(((4, 3), (4, 4), (4, 8), (5, 2), (7, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,67
"(((4, 3), (4, 4), (4, 8), (5, 2), (7, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 4), (7, 3)), (1, 1))",2,8.0,10.0,2,10,3,expanded,False,True,68
"(((4, 3), (4, 9), (5, 3), (5, 4), (7, 3)), (1, 1))","(((4, 3), (4, 8), (5, 3), (5, 4), (7, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,69
"(((4, 3), (4, 8), (5, 3), (5, 4), (8, 3)), (1, 1))","(((4, 3), (4, 8), (5, 3), (5, 4), (7, 3)), (1, 1))",3,9,12.0,3,,,pruned,,,70
"(((4, 3), (4, 8), (5, 3), (5, 4), (7, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 4), (7, 3)), (1, 1))",2,8.0,10.0,2,6,2,expanded,False,True,71
