node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((3, 4), (3, 6), (4, 5), (4, 7), (5, 6), (6, 5), (6, 7), (7, 4), (7, 6)), (1, 1))",,0,9.0,9.0,0,2,0,expanded,False,True,0
"(((3, 4), (3, 6), (4, 5), (4, 7), (5, 6), (6, 5), (6, 6), (6, 7), (7, 3)), (1, 1))","(((3, 4), (3, 6), (4, 5), (4, 7), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))",2,9,11.0,2,,,pruned,,,1
"(((3, 4), (3, 6), (4, 5), (4, 7), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))","(((3, 4), (3, 6), (4, 5), (4, 7), (5, 6), (6, 5), (6, 7), (7, 4), (7, 6)), (1, 1))",1,8.0,9.0,1,10,1,expanded,False,True,2
"(((3, 3), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 7), (7, 4), (7, 6)), (1, 1))","(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 7), (7, 4), (7, 6)), (1, 1))",2,9,11.0,2,,,pruned,,,3
"(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 7), (7, 4), (7, 6)), (1, 1))","(((3, 4), (3, 6), (4, 5), (4, 7), (5, 6), (6, 5), (6, 7), (7, 4), (7, 6)), (1, 1))",1,8.0,9.0,1,10,1,expanded,False,True,4
"(((3, 4), (3, 6), (4, 5), (4, 7), (5, 6), (6, 5), (6, 6), (7, 4), (7, 7)), (3, 7))","(((3, 4), (3, 6), (4, 5), (4, 7), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))",2,7.0,9.0,2,6,0,expanded,False,True,5
"(((3, 4), (3, 6), (4, 5), (4, 7), (5, 6), (5, 7), (6, 5), (6, 6), (7, 3)), (1, 1))","(((3, 4), (3, 6), (4, 5), (4, 7), (5, 6), (5, 7), (6, 5), (6, 6), (7, 4)), (1, 1))",3,8,11.0,3,,,pruned,,,6
"(((3, 4), (3, 6), (4, 5), (4, 7), (5, 6), (5, 7), (6, 5), (6, 6), (7, 4)), (1, 1))","(((3, 4), (3, 6), (4, 5), (4, 7), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))",2,7.0,9.0,2,5,1,expanded,False,True,7
"(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 6), (6, 7), (7, 3)), (1, 1))","(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))",3,8,11.0,3,,,pruned,,,8
"(((3, 3), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))","(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))",3,8,11.0,3,,,pruned,,,9
"(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))","(((3, 4), (3, 6), (4, 5), (4, 7), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))",2,7.0,9.0,2,9,2,expanded,False,True,10
"(((3, 4), (3, 5), (4, 5), (4, 7), (5, 6), (6, 5), (6, 6), (6, 7), (7, 3)), (1, 1))","(((3, 4), (3, 5), (4, 5), (4, 7), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))",3,8,11.0,3,,,pruned,,,11
"(((3, 4), (3, 5), (4, 5), (4, 8), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))","(((3, 4), (3, 5), (4, 5), (4, 7), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))",3,8,11.0,3,,,pruned,,,12
"(((3, 4), (3, 5), (4, 5), (4, 7), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))","(((3, 4), (3, 6), (4, 5), (4, 7), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))",2,7.0,9.0,2,10,2,expanded,False,True,13
"(((3, 4), (3, 6), (4, 5), (5, 6), (5, 7), (6, 5), (6, 6), (6, 7), (7, 3)), (1, 1))","(((3, 4), (3, 6), (4, 5), (5, 6), (5, 7), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))",3,8,11.0,3,,,pruned,,,14
"(((3, 4), (3, 6), (4, 5), (5, 6), (5, 7), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))","(((3, 4), (3, 6), (4, 5), (4, 7), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))",2,7.0,9.0,2,6,1,expanded,False,True,15
"(((3, 4), (3, 6), (3, 7), (4, 5), (5, 6), (6, 5), (6, 6), (6, 7), (7, 3)), (1, 1))","(((3, 4), (3, 6), (3, 7), (4, 5), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))",3,8,11.0,3,,,pruned,,,16
"(((3, 4), (3, 6), (3, 7), (4, 5), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))","(((3, 4), (3, 6), (4, 5), (4, 7), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))",2,7.0,9.0,2,8,1,expanded,False,True,17
"(((3, 4), (3, 6), (4, 5), (4, 6), (5, 6), (6, 5), (6, 6), (6, 7), (7, 3)), (1, 1))","(((3, 4), (3, 6), (4, 5), (4, 6), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))",3,8,11.0,3,,,pruned,,,18
"(((3, 4), (3, 6), (4, 5), (4, 6), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))","(((3, 4), (3, 6), (4, 5), (4, 7), (5, 6), (6, 5), (6, 6), (6, 7), (7, 4)), (1, 1))",2,7.0,9.0,2,6,1,expanded,False,True,19
"(((3, 3), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (7, 4), (7, 6), (7, 7)), (1, 1))","(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (7, 4), (7, 6), (7, 7)), (1, 1))",3,8,11.0,3,,,pruned,,,20
"(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (7, 4), (7, 6), (7, 7)), (1, 1))","(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 7), (7, 4), (7, 6)), (1, 1))",2,7.0,9.0,2,8,1,expanded,False,True,21
"(((3, 3), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 5), (7, 4), (7, 6)), (1, 1))","(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 5), (7, 4), (7, 6)), (1, 1))",3,8,11.0,3,,,pruned,,,22
"(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 5), (7, 4), (7, 6)), (1, 1))","(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 7), (7, 4), (7, 6)), (1, 1))",2,7.0,9.0,2,6,1,expanded,False,True,23
"(((3, 3), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 6), (7, 4), (7, 6)), (1, 1))","(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 6), (7, 4), (7, 6)), (1, 1))",3,8,11.0,3,,,pruned,,,24
"(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 6), (7, 4), (7, 6)), (1, 1))","(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 7), (7, 4), (7, 6)), (1, 1))",2,7.0,9.0,2,6,1,expanded,False,True,25
"(((3, 3), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 7), (7, 4), (7, 5)), (1, 1))","(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 7), (7, 4), (7, 5)), (1, 1))",3,8,11.0,3,,,pruned,,,26
"(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 8), (7, 4), (7, 5)), (1, 1))","(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 7), (7, 4), (7, 5)), (1, 1))",3,8,11.0,3,,,pruned,,,27
"(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 7), (7, 4), (7, 5)), (1, 1))","(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 7), (7, 4), (7, 6)), (1, 1))",2,7.0,9.0,2,10,2,expanded,False,True,28
"(((3, 3), (4, 5), (4, 6), (5, 6), (5, 7), (6, 5), (6, 7), (7, 4), (7, 6)), (1, 1))","(((3, 4), (4, 5), (4, 6), (5, 6), (5, 7), (6, 5), (6, 7), (7, 4), (7, 6)), (1, 1))",3,8,11.0,3,,,pruned,,,29
"(((3, 4), (4, 5), (4, 6), (5, 6), (5, 7), (6, 5), (6, 7), (7, 4), (7, 6)), (1, 1))","(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 7), (7, 4), (7, 6)), (1, 1))",2,7.0,9.0,2,5,1,expanded,False,True,30
"(((3, 4), (3, 7), (4, 5), (4, 6), (5, 6), (6, 5), (6, 7), (7, 4), (7, 6)), (3, 8))","(((3, 4), (4, 5), (4, 6), (4, 7), (5, 6), (6, 5), (6, 7), (7, 4), (7, 6)), (1, 1))",2,7.0,9.0,2,6,0,expanded,False,True,31
"(((3, 4), (3, 5), (4, 5), (4, 7), (5, 6), (6, 5), (6, 6), (7, 3), (7, 7)), (1, 1))","(((3, 4), (3, 5), (4, 5), (4, 7), (5, 6), (6, 5), (6, 6), (7, 4), (7, 7)), (1, 1))",4,7,11.0,4,,,pruned,,,32
"(((3, 4), (3, 5), (4, 5), (4, 7), (5, 6), (6, 5), (6, 6), (7, 4), (7, 8)), (1, 1))","(((3, 4), (3, 5), (4, 5), (4, 7), (5, 6), (6, 5), (6, 6), (7, 4), (7, 7)), (1, 1))",4,7,11.0,4,,,pruned,,,33
"(((3, 4), (3, 5), (4, 5), (4, 8), (5, 6), (6, 5), (6, 6), (7, 4), (7, 7)), (1, 1))","(((3, 4), (3, 5), (4, 5), (4, 7), (5, 6), (6, 5), (6, 6), (7, 4), (7, 7)), (1, 1))",4,7,11.0,4,,,pruned,,,34
