node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((1, 2), (1, 5), (3, 3)), (1, 1))",,0,1.0,1.0,0,2,0,expanded,False,True,0
"(((1, 3), (1, 5), (3, 3)), (1, 1))","(((1, 2), (1, 5), (3, 3)), (1, 1))",1,2.0,3.0,1,2,0,expanded,False,True,1
"(((1, 1), (1, 5), (3, 4)), (1, 2))","(((1, 2), (1, 5), (3, 4)), (1, 1))",2,3,5.0,2,,,pruned,,,2
"(((1, 2), (1, 5), (3, 4)), (1, 1))","(((1, 2), (1, 5), (3, 3)), (1, 1))",1,2.0,3.0,1,4,1,expanded,False,True,3
"(((1, 1), (1, 6), (3, 4)), (1, 2))","(((1, 2), (1, 6), (3, 4)), (1, 1))",3,2,5.0,3,,,pruned,,,4
"(((1, 2), (1, 6), (3, 4)), (1, 1))","(((1, 2), (1, 5), (3, 4)), (1, 1))",2,1.0,3.0,2,4,1,expanded,False,True,5
"(((1, 2), (1, 6), (3, 3)), (1, 3))","(((1, 2), (1, 6), (3, 4)), (1, 1))",3,0.0,3.0,3,0,0,goal,False,False,6
